Date,Adj Close,Volume
7/7/2003,9119.589844,11409400
7/14/2003,9188.150391,12759300
7/21/2003,9284.570313,10244900
7/28/2003,9153.969727,10665700
8/4/2003,9191.089844,9717100
8/11/2003,9321.69043,7519700
8/18/2003,9348.870117,11174700
8/25/2003,9415.820313,7999600
9/1/2003,9503.339844,8919700
9/8/2003,9471.549805,9358900
9/15/2003,9644.820313,10572200
9/22/2003,9313.080078,10624700
9/29/2003,9572.30957,11435400
10/6/2003,9674.679688,9468300
10/13/2003,9721.790039,9939900
10/20/2003,9582.459961,11041000
10/27/2003,9801.120117,10904200
11/3/2003,9809.790039,9487700
11/10/2003,9768.679688,9518600
11/17/2003,9628.530273,10416900
11/24/2003,9782.459961,6062000
12/1/2003,9862.679688,11773400
12/8/2003,10042.16016,10306300
12/15/2003,10278.21973,11577200
12/22/2003,10324.66992,4525200
12/29/2003,10409.84961,5967600
1/5/2004,10458.88965,10992600
1/12/2004,10600.50977,10958100
1/19/2004,10568.29004,8932000
1/26/2004,10488.07031,11233500
2/2/2004,10593.03027,10070600
2/9/2004,10627.84961,10417100
2/16/2004,10619.03027,7745500
2/23/2004,10583.91992,10713200
3/1/2004,10595.54981,10169600
3/8/2004,10240.08008,12199700
3/15/2004,10186.59961,10753300
3/22/2004,10212.96973,11037500
3/29/2004,10470.58984,10553600
4/5/2004,10442.03027,7636200
4/12/2004,10451.96973,10727300
4/19/2004,10472.83984,11534900
4/26/2004,10225.57031,10784300
5/3/2004,10117.33984,10098500
5/10/2004,10012.87012,11326700
5/17/2004,9966.740234,9554000
5/24/2004,10188.4502,9188800
5/31/2004,10242.82031,6741600
6/7/2004,10410.09961,6718900
6/14/2004,10416.41016,10138300
6/21/2004,10371.83984,11121200
6/28/2004,10282.83008,10206100
7/5/2004,10213.21973,7030300
7/12/2004,10139.78027,11142900
7/19/2004,9962.219727,11600000
7/26/2004,10139.70996,10933600
8/2/2004,9815.330078,9197600
8/9/2004,9825.349609,9295100
8/16/2004,10110.13965,9221900
8/23/2004,10195.00977,7066600
8/30/2004,10260.2002,8472500
9/6/2004,10313.07031,8674900
9/13/2004,10284.45996,10622400
9/20/2004,10047.24023,11132700
9/27/2004,10192.65039,12941000
10/4/2004,10055.2002,12135500
10/11/2004,9933.379883,12360400
10/18/2004,9757.80957,12950000
10/25/2004,10027.46973,12807800
11/1/2004,10387.54004,16608500
11/8/2004,10539.00977,13640900
11/15/2004,10456.91016,13163200
11/22/2004,10522.23047,7907700
11/29/2004,10592.20996,14248600
12/6/2004,10543.21973,12454200
12/13/2004,10649.91992,17791200
12/20/2004,10827.12012,10397100
12/27/2004,10783.00977,7901900
1/3/2005,10603.95996,13440700
1/10/2005,10558,13589400
1/17/2005,10392.99023,10284200
1/24/2005,10427.2002,13954400
1/31/2005,10716.12988,13369900
2/7/2005,10796.00977,12903000
2/14/2005,10785.21973,13073300
2/21/2005,10841.59961,11138800
2/28/2005,10940.54981,12450100
3/7/2005,10774.36035,11701500
3/14/2005,10629.66992,15132100
3/21/2005,10442.87012,11288500
3/28/2005,10404.29981,13699100
4/4/2005,10461.33984,12875100
4/11/2005,10087.50977,14557800
4/18/2005,10157.70996,14721800
4/25/2005,10192.50977,13179600
5/2/2005,10345.40039,12594300
5/9/2005,10140.12012,11626500
5/16/2005,10471.91016,11995300
5/23/2005,10542.54981,9806100
5/30/2005,10460.96973,8833200
6/6/2005,10512.62988,10069100
6/13/2005,10623.07031,12096300
6/20/2005,10297.83984,12074300
6/27/2005,10303.44043,11916000
7/4/2005,10449.13965,9974000
7/11/2005,10640.83008,11830100
7/18/2005,10651.17969,13501000
7/25/2005,10640.91016,10593100
8/1/2005,10558.03027,11209700
8/8/2005,10600.30957,11049000
8/15/2005,10559.23047,10746300
8/22/2005,10397.29004,10630800
8/29/2005,10447.37012,12023000
9/5/2005,10678.55957,9305900
9/12/2005,10641.94043,14214500
9/19/2005,10419.58984,12375900
9/26/2005,10568.7002,11562000
10/3/2005,10292.30957,13615300
10/10/2005,10287.33984,13003100
10/17/2005,10215.21973,15501300
10/24/2005,10402.76953,12970100
10/31/2005,10530.75977,14460400
11/7/2005,10686.04004,11766900
11/14/2005,10766.33008,13902000
11/21/2005,10931.62012,9206700
11/28/2005,10877.50977,12441400
12/5/2005,10778.58008,12376800
12/12/2005,10875.58984,16362200
12/19/2005,10883.26953,11996800
12/26/2005,10717.5,6784500
1/2/2006,10959.30957,11170900
1/9/2006,10959.87012,12851100
1/16/2006,10667.38965,15030600
1/23/2006,10907.20996,19538900
1/30/2006,10793.62012,16874300
2/6/2006,10919.04981,15629100
2/13/2006,11115.32031,14823800
2/20/2006,11061.84961,11253700
2/27/2006,11021.58984,15047100
3/6/2006,11076.33984,13777200
3/13/2006,11279.65039,15643000
3/20/2006,11279.96973,14554100
3/27/2006,11109.32031,13721000
4/3/2006,11120.04004,12722400
4/10/2006,11137.65039,9169200
4/17/2006,11347.4502,15031800
4/24/2006,11367.13965,18916800
5/1/2006,11577.74023,17547800
5/8/2006,11380.99023,15014500
5/15/2006,11144.05957,18309800
5/22/2006,11278.61035,16584600
5/29/2006,11247.87012,11787100
6/5/2006,10891.91992,16894300
6/12/2006,11014.54981,18381300
6/19/2006,10989.08984,14327900
6/26/2006,11150.21973,14355200
7/3/2006,11090.66992,8613600
7/10/2006,10739.34961,14130500
7/17/2006,10868.37988,16534400
7/24/2006,11219.7002,13946400
7/31/2006,11240.34961,10770500
8/7/2006,11088.03027,10406400
8/14/2006,11381.46973,11594300
8/21/2006,11284.04981,9012300
8/28/2006,11464.15039,8845000
9/4/2006,11392.11035,7512700
9/11/2006,11560.76953,12367200
9/18/2006,11508.09961,10378000
9/25/2006,11679.07031,13010900
10/2/2006,11850.20996,12069700
10/9/2006,11960.50977,12473000
10/16/2006,12002.37012,14285100
10/23/2006,12090.25977,12993900
10/30/2006,11986.04004,11492500
11/6/2006,12108.42969,11660800
11/13/2006,12342.55957,12166500
11/20/2006,12280.16992,7009900
11/27/2006,12194.12988,12489400
12/4/2006,12307.49023,12167800
12/11/2006,12445.51953,13471600
12/18/2006,12343.21973,9998000
12/25/2006,12463.15039,5421600
1/1/2007,12398.00977,8214800
1/8/2007,12556.08008,11935100
1/15/2007,12565.53027,10536100
1/22/2007,12487.01953,12698800
1/29/2007,12653.49023,11757000
2/5/2007,12580.83008,10133200
2/12/2007,12767.57031,10176400
2/19/2007,12647.48047,8415200
2/26/2007,12114.09961,17233900
3/5/2007,12276.32031,12732300
3/12/2007,12110.41016,14866300
3/19/2007,12481.00977,10902100
3/26/2007,12354.34961,10959200
4/2/2007,12560.2002,8049500
4/9/2007,12612.12988,10942900
4/16/2007,12961.98047,14220900
4/23/2007,13120.94043,12343900
4/30/2007,13264.62012,12479500
5/7/2007,13326.21973,11513100
5/14/2007,13556.53027,11813900
5/21/2007,13507.28027,10493800
5/28/2007,13668.11035,8866900
6/4/2007,13424.38965,11785800
6/11/2007,13639.48047,13235300
6/18/2007,13360.25977,13048100
6/25/2007,13408.62012,12079200
7/2/2007,13611.67969,6728700
7/9/2007,13907.25,12160100
7/16/2007,13851.08008,14425200
7/23/2007,13265.46973,15653000
7/30/2007,13181.91016,15379300
8/6/2007,13239.54004,15742400
8/13/2007,13079.08008,16382300
8/20/2007,13378.87012,10255500
8/27/2007,13357.74023,10385100
9/3/2007,13113.37988,9360100
9/10/2007,13442.51953,10319300
9/17/2007,13820.19043,13441900
9/24/2007,13895.62988,10162400
10/1/2007,14066.00977,8807500
10/8/2007,14093.08008,8702700
10/15/2007,13522.01953,13037200
10/22/2007,13806.7002,12808600
10/29/2007,13595.09961,12906600
11/5/2007,13042.74023,15455200
11/12/2007,13176.79004,14152300
11/19/2007,12980.87988,10184000
11/26/2007,13371.71973,13857400
12/3/2007,13625.58008,10506000
12/10/2007,13339.84961,12757100
12/17/2007,13450.65039,13192600
12/24/2007,13365.87012,4975100
12/31/2007,12800.17969,9116500
1/7/2008,12606.29981,15895100
1/14/2008,12099.29981,20082400
1/21/2008,12207.16992,18245800
1/28/2008,12743.19043,16726700
2/4/2008,12182.12988,14565500
2/11/2008,12348.20996,12849600
2/18/2008,12381.01953,11560500
2/25/2008,12266.38965,14432200
3/3/2008,11893.69043,15027000
3/10/2008,11951.08984,16895500
3/17/2008,12361.32031,15817800
3/24/2008,12216.40039,11813800
3/31/2008,12609.41992,11670300
4/7/2008,12325.41992,11044000
4/14/2008,12849.36035,12154800
4/21/2008,12891.86035,11421500
4/28/2008,13058.2002,11462800
5/5/2008,12745.87988,10079900
5/12/2008,12986.79981,11086800
5/19/2008,12479.62988,11313700
5/26/2008,12638.32031,8318600
6/2/2008,12209.80957,12091200
6/9/2008,12307.34961,12631700
6/16/2008,11842.69043,12703500
6/23/2008,11346.50977,12851000
6/30/2008,11288.54004,9894000
7/7/2008,11100.54004,12698600
7/14/2008,11496.57031,15582100
7/21/2008,11370.69043,11831200
7/28/2008,11326.32031,10229000
8/4/2008,11734.32031,10277400
8/11/2008,11659.90039,9141600
8/18/2008,11628.05957,7415600
8/25/2008,11543.95996,7050500
9/1/2008,11220.95996,7788400
9/8/2008,11421.99023,12312700
9/15/2008,11388.44043,25341000
9/22/2008,11143.12988,10524100
9/29/2008,10325.37988,16574000
10/6/2008,8451.19043,23449100
10/13/2008,8852.219727,19694300
10/20/2008,8378.950195,14978200
10/27/2008,9325.009766,15477300
11/3/2008,8943.80957,12911900
11/10/2008,8497.30957,15741300
11/17/2008,8046.419922,20922200
11/24/2008,8829.040039,13053400
12/1/2008,8635.419922,15504600
12/8/2008,8629.679688,14383200
12/15/2008,8579.110352,16306200
12/22/2008,8515.549805,5394200
12/29/2008,9034.69043,7567500
1/5/2009,8599.179688,11468000
1/12/2009,8281.219727,18086700
1/19/2009,8077.560059,16197900
1/26/2009,8000.859863,14730200
2/2/2009,8280.589844,17398600
2/9/2009,7850.410156,15933700
2/16/2009,7365.669922,14874500
2/23/2009,7062.930176,23136800
3/2/2009,6626.939941,24137200
3/9/2009,7223.97998,24981400
3/16/2009,7278.379883,27958300
3/23/2009,7776.180176,20702700
3/30/2009,8017.589844,18954700
4/6/2009,8083.379883,12417300
4/13/2009,8131.330078,22476800
4/20/2009,8076.290039,19946800
4/27/2009,8212.410156,14368000
5/4/2009,8574.650391,20255200
5/11/2009,8268.639648,16370200
5/18/2009,8277.320313,15811000
5/25/2009,8500.330078,12533900
6/1/2009,8763.129883,13573200
6/8/2009,8799.259766,10114000
6/15/2009,8539.730469,14575400
6/22/2009,8438.389648,12480000
6/29/2009,8280.740234,7922200
7/6/2009,8146.52002,11099500
7/13/2009,8743.94043,12656800
7/20/2009,9093.240234,11207200
7/27/2009,9171.610352,10635900
8/3/2009,9370.070313,11153400
8/10/2009,9321.400391,8485700
8/17/2009,9505.959961,9878100
8/24/2009,9544.200195,8888900
8/31/2009,9441.269531,9656300
9/7/2009,9605.410156,8240800
9/14/2009,9820.200195,13121800
9/21/2009,9665.19043,9920200
9/28/2009,9487.669922,10729100
10/5/2009,9864.94043,9182200
10/12/2009,9995.910156,12154200
10/19/2009,9972.179688,11893600
10/26/2009,9712.730469,13414100
